V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t172	-1.393	1.981	0.922	-1.855	-1.553	2.462	-0.913	-1.237	1.962	-2.299	-1.045	-0.403	2.653	0.17	-0.501	-0.616	-0.136	2.594	1.165	0.123	0.155	-1.273	0.126	-0.939	0.438	-0.781	-1.021	-0.432	0.767	0.872
t159	-1.184	2.042	-0.675	-0.237	-0.041	2.285	-0.343	-1.812	0.849	-3.429	-0.412	-2.056	2.219	-1	-0.811	1.588	-0.705	2.183	0.828	-0.244	1.391	-0.202	0.243	-0.948	1.131	-0.237	-0.109	-0.788	-0.939	1.406
t195	-2.382	0.794	3.231	-3.524	-3.915	2.432	-0.811	0.972	1.149	0.031	-2.165	1.775	1.352	1.316	-0.201	-0.247	0.715	2.566	1.814	1.004	-0.491	-2.46	-0.931	-1.198	0.707	-1.862	-2.182	-0.536	2.942	0.086
t147	-2.88	0.668	2.679	-2.712	-3.716	2.422	-0.573	0.909	0.513	1.106	-1.864	2.096	-0.002	0.728	-0.33	-0.151	0.916	2.417	1.858	1.094	0.184	-2.529	-0.438	-1.158	1.303	-1.454	-1.926	-2.225	2.811	0.242
t174	-0.788	2.499	-0.129	-0.958	-0.866	2.316	-0.526	-1.519	0.658	-3.354	-0.861	-1.404	2.498	-1.26	-0.77	2.44	-0.548	2.173	1.021	0.266	1.094	-0.495	-0.296	-1.127	1.147	-0.476	-0.48	-0.955	-0.561	1.255
t20	-1.607	1.26	2.116	-2.179	-2.933	2.432	-0.872	-0.146	0.878	-0.681	-1.456	0.474	0.857	0.708	-0.486	-0.513	0.091	2.524	1.475	0.917	0.201	-1.898	-0.325	-1.064	1.223	-1.415	-1.37	-0.256	1.585	0.455
t149	-1.821	0.41	2.178	-2.645	-2.593	2.486	-0.868	0.234	1.406	-0.927	-1.496	0.057	1.829	1.278	-0.245	-1.068	0.214	2.642	1.509	0.202	-0.199	-1.636	-0.341	-0.97	0.461	-1.038	-1.315	-0.095	2.092	0.253
t82	-1.689	0.551	1.89	-2.531	-2.527	2.474	-0.929	-0.059	1.593	-1.301	-1.474	0.044	2.051	0.816	-0.296	-0.271	0.093	2.644	1.5	0.251	-0.189	-1.521	-0.349	-0.99	0.578	-1.009	-1.284	-0.263	1.937	0.253
t88	-2.112	1.447	2.155	-2.792	-3.124	2.472	-0.919	0.044	1.51	-0.635	-1.677	1.022	2.052	0.636	-0.347	-0.742	0.373	2.611	1.686	0.631	-0.378	-2.179	-0.148	-1.097	0.552	-1.249	-1.736	-0.837	2.278	0.495
t138	-2.861	-0.017	3.856	-3.846	-4.229	2.491	-0.962	1.516	0.754	1.388	-2.343	2.453	0.691	2.041	-0.004	-1.583	1.111	2.645	2.014	0.721	-0.734	-2.82	-0.716	-1.111	0.454	-1.778	-2.498	-0.898	4.064	0.166
t111	-1.514	0.738	0.95	-1.765	-2.163	2.375	-0.338	0.001	0.71	-1.581	-1.18	-0.713	1.437	-0.266	-0.554	1.699	0.05	2.285	1.342	0.601	0.824	-1.059	-0.602	-1.101	1.355	-0.591	-0.5	-1.238	0.568	0.229
t140	0.087	2.996	-1.317	0.091	0.228	2.375	-0.69	-2.722	1.228	-4.217	-0.08	-2.693	2.65	-1.76	-0.995	1.595	-1.102	2.267	0.616	-0.04	1.601	0.047	0.334	-0.95	1.322	0.134	0.4	-0.686	-1.982	1.25
t125	-0.306	0.608	0.633	-1.236	-1.47	2.46	-1.018	-0.916	0.948	-2.317	-0.841	-1.756	2.025	-0.141	-0.584	0.886	-0.674	2.516	1.197	-0.089	0.707	-0.727	-0.226	-1.004	1.191	-0.281	-0.282	0.056	0.394	0.242
t43	-0.63	0.501	0.119	-0.822	-1.33	2.412	-0.787	-0.978	0.738	-1.919	-0.674	-1.648	1.645	-0.617	-0.682	1.258	-0.513	2.389	1.149	-0.086	1.075	-0.732	0.003	-0.985	1.387	-0.014	-0.027	-0.788	0.093	0.459
t68	-2.596	0.677	0.202	-1.355	-0.741	2.423	-0.103	-0.192	1.617	-1.919	-0.739	-0.765	1.865	-0.287	-0.422	1.339	0.162	2.381	1.297	-0.406	0.962	-0.55	0.051	-0.898	0.895	-0.105	-0.552	-2.97	0.719	0.005
t67	-3.137	0.449	4.274	-4.236	-5.316	2.494	-0.981	1.859	0.724	2.247	-2.638	3.496	0.324	1.749	-0.075	-1.3	1.434	2.612	2.251	1.444	-0.858	-3.565	-0.746	-1.26	0.834	-2.044	-2.858	-1.672	4.445	-0.054
t26	-0.877	1.742	-0.418	0.103	-0.388	2.375	-0.572	-1.948	0.766	-2.418	-0.175	-2.017	0.965	-0.511	-0.85	-0.395	-0.735	2.31	0.765	0.082	1.499	-0.448	0.671	-0.804	1.379	-0.15	0.13	-0.634	-0.828	1.379
t53	-0.489	2.216	-1.545	0.936	0.343	2.272	-0.45	-2.739	0.291	-2.971	0.194	-3.003	1.592	-1.199	-1.086	-0.428	-1.007	2.109	0.49	-0.293	1.887	-0.224	1.166	-0.796	1.252	0.338	0.748	0.002	-1.979	2.366
t14	-1.248	1.85	0.046	-0.393	-1.133	2.342	-0.679	-1.554	0.765	-2.164	-0.621	-1.261	1.536	-0.649	-0.793	0.351	-0.701	2.332	1.125	0.16	0.97	-0.945	0.584	-0.996	1.262	-0.536	-0.535	-0.548	0.071	1.36
t48	-1.183	2.108	-0.036	-0.571	-1.134	2.394	-0.796	-1.582	1.189	-2.603	-0.566	-1.453	1.738	-0.632	-0.768	0.157	-0.792	2.404	1.12	0.31	0.806	-0.768	0.719	-0.919	1.234	-0.411	-0.482	-0.715	0.063	1.164
