feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t66	0.098	0.729	0.708	1.041	1.646	0.097	-2.043	-0.467	-0.989	-1.918	0.67	-1.104	-0.907	-0.776	0.953	-0.688	-1.677	0.483	-1.299	0.724	0.434	-0.279	1.519	-0.339	1.017	1.565	0.67	-0.166	-0.569	0.859
t145	-0.163	1.412	0.719	1.013	0.91	-0.037	-1.329	-1.916	-0.252	-1.963	0.792	-1.42	-0.357	-0.653	0.757	-0.708	-1.398	0.956	-1.156	0.144	1.785	-0.173	1.26	-1.025	0.869	1.535	0.783	-0.059	-1.195	0.862
t85	0.18	0.938	0.949	1.022	1.623	0.018	-1.927	-0.887	-0.696	-2.001	0.715	-1.085	-0.965	-1.288	1.05	-1.027	-1.297	0.549	-1.058	0.716	0.696	-0.269	1.256	-0.51	0.998	1.63	0.574	-0.208	-0.65	0.945
t49	-0.635	1.205	0.424	1.059	1.009	-0.043	-1.664	-0.116	-0.731	-2.062	0.687	-1.105	-0.094	-0.763	0.626	-0.397	-1.626	0.519	-1.612	0.183	1.191	-0.295	1.423	-0.015	0.982	1.501	0.641	-0.116	-0.937	0.75
t168	-0.078	0.985	0.579	1.1	1.445	0	-1.693	-1.601	-0.8	-1.954	0.679	-1.279	-0.538	-0.623	0.776	-0.765	-1.759	0.823	-1.313	0.463	1.216	-0.223	1.501	-0.2	1.281	1.495	0.807	-0.13	-0.987	0.784
t65	-0.05	0.979	0.966	1.35	1.176	0.038	-1.455	-1.394	-0.456	-2.37	0.748	-1.334	-0.698	-1.361	0.986	-0.999	-1.3	0.664	-1.509	0.424	0.782	-0.399	1.384	0.366	0.675	1.737	0.889	-0.258	-0.577	0.995
t141	-0.178	0.993	0.402	1.01	1.467	-0.125	-1.522	-0.641	-0.843	-2.132	0.626	-0.932	-0.635	-0.827	0.756	-0.9	-1.564	0.643	-1.518	0.655	0.708	-0.386	1.443	0.89	1.049	1.489	0.591	-0.287	-0.976	0.737
t33	-0.318	1.076	0.954	1.116	1.24	0.021	-1.143	-0.708	-0.566	-2.177	0.766	-1.064	-1.172	-1.389	0.978	-0.616	-1.617	0.515	-1.714	0.529	0.707	-0.451	1.59	0.501	0.527	1.673	0.779	-0.248	-0.748	0.95
t195	-0.194	1.048	0.213	0.807	1.593	-0.018	-1.744	-0.146	-0.976	-1.596	0.677	-0.458	-0.427	-0.904	0.787	-0.769	-1.828	0.462	-1.34	0.18	0.823	-0.178	1.452	0.137	1.116	1.44	0.269	-0.155	-0.967	0.689
t51	-0.403	1.485	0.635	1.11	0.807	-0.039	-1.156	-1.845	-0.141	-2.265	0.75	-1.558	-0.267	-0.957	0.722	-0.557	-1.553	1.069	-1.631	0.048	1.682	-0.326	1.492	0.287	0.7	1.552	0.952	-0.179	-1.234	0.817
