V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t6	-2.627	-2.882	-5.623	-6.029	-3.643	-6.231	-5.462	-6.046	-4.258	-4.457	-5.333	-4.37	-5.545	-3.604	-6.66	-2.47	-4.227	-4.112	-3.056	-6.362	-3.246	-0.999	-3.626	-4.833	-4.543	-4.439	-2.967	-2.773	-4.686	-5.592
t9	-2.536	-2.913	-5.517	-6.076	-3.764	-6.147	-5.548	-5.94	-4.777	-4.413	-5.365	-4.096	-5.44	-3.544	-6.429	-2.616	-3.863	-3.923	-2.889	-6.612	-3.472	-0.948	-3.612	-4.771	-5.118	-4.399	-3.322	-2.855	-4.613	-5.339
t143	-2.731	-2.609	-5.713	-5.585	-3.811	-4.627	-3.967	-5.236	-3.393	-3.719	-4.986	-4.592	-5.206	-3.816	-6.071	-4.083	-4.233	-2.865	-2.973	-5.065	-3.659	-1.312	-3.183	-4.372	-3.197	-4.193	-3.467	-2.577	-3.645	-4.686
t127	-1.924	-3.095	-6.761	-6.675	-4.614	-5.674	-5.3	-5.884	-3.968	-4.198	-5.172	-4.726	-5.9	-4.36	-6.575	-3.942	-4.233	-2.657	-2.977	-6.62	-4.351	-1.331	-3.558	-4.791	-2.257	-4.502	-3.162	-2.678	-3.855	-6.536
t159	-3.709	-2.444	-7.007	-5.739	-3.874	-4.582	-2.893	-5.605	-3.836	-3.521	-4.89	-6.282	-6.298	-4.362	-7.796	-4.436	-5.885	-3.803	-2.749	-3.433	-3.134	-1.504	-3.523	-4.833	-2.066	-4.758	-4.23	-2.217	-3.978	-5.312
t12	-3.478	-2.613	-6.894	-5.629	-4.272	-3.985	-2.916	-5.383	-3.02	-3.656	-4.929	-6.105	-6.001	-4.522	-7.168	-5.307	-5.519	-3.08	-2.579	-3.861	-3.831	-1.852	-3.402	-4.688	-1.688	-4.684	-4.396	-2.428	-3.554	-5.206
t133	-3.904	-3.067	-5.665	-5.456	-5.106	-2.46	-2.641	-4.305	-5.354	-3.341	-5.53	-4.521	-4.838	-4.39	-4.966	-7.858	-3.479	-1.576	-2.704	-4.668	-5.792	-2.411	-3.309	-4.221	-5.872	-4.5	-7.194	-3.596	-2.86	-2.214
t140	-3.681	-2.966	-5.748	-5.392	-4.981	-2.542	-2.673	-4.362	-4.789	-3.364	-5.373	-4.611	-4.87	-4.335	-5.096	-7.499	-3.603	-1.59	-2.555	-4.63	-5.544	-2.305	-3.225	-4.188	-5.119	-4.43	-6.736	-3.385	-2.824	-2.608
t200	-3.778	-2.635	-5.817	-5.403	-4.436	-2.972	-2.398	-4.443	-5.231	-3.02	-5.162	-4.777	-5.09	-4.151	-5.633	-6.586	-3.989	-2.113	-2.751	-3.88	-4.705	-1.847	-3.188	-4.198	-4.943	-4.369	-6.159	-2.988	-3.039	-2.66
t178	-3.096	-2.579	-6.19	-5.582	-4.15	-3.796	-3.037	-4.934	-3.453	-3.332	-4.923	-5.114	-5.369	-4.206	-6.15	-5.362	-4.578	-2.356	-2.996	-4.199	-4.064	-1.652	-3.143	-4.324	-2.543	-4.303	-4.242	-2.563	-3.203	-4.333
t129	-2.758	-2.625	-5.51	-5.442	-3.834	-4.388	-3.875	-5.12	-3.038	-3.739	-5.002	-4.498	-5.031	-3.858	-5.782	-4.324	-4.102	-2.695	-2.975	-5.081	-3.848	-1.418	-3.107	-4.294	-3.264	-4.14	-3.42	-2.665	-3.509	-4.443
t41	-3.617	-2.423	-6.352	-5.446	-3.975	-3.711	-2.51	-4.98	-3.762	-3.201	-4.886	-5.592	-5.624	-4.255	-6.666	-5.354	-5.076	-2.867	-2.87	-3.422	-3.726	-1.635	-3.222	-4.428	-2.729	-4.452	-4.555	-2.445	-3.376	-4.121
t29	-2.66	-3.453	-7.194	-7.56	-4.107	-8.413	-6.925	-7.342	-6.057	-5.028	-5.814	-5.26	-7.006	-4.229	-8.491	-1.483	-5.358	-5.349	-3.974	-7.326	-3.07	-0.962	-4.521	-5.811	-4.152	-5.203	-2.681	-2.901	-5.872	-7.898
t115	-2.827	-2.793	-7.067	-6.643	-3.876	-6.359	-4.729	-6.254	-4.741	-3.961	-5.142	-5.559	-6.5	-4.241	-7.889	-2.883	-5.44	-4.1	-3.488	-5.197	-3.034	-1.048	-3.803	-5.111	-2.451	-4.758	-3.021	-2.349	-4.598	-6.574
t89	-2.129	-3.051	-7.01	-6.909	-4.338	-6.408	-5.454	-6.23	-4.588	-4.202	-5.215	-5.008	-6.289	-4.358	-7.26	-3.139	-4.713	-3.379	-3.308	-6.39	-3.798	-1.106	-3.752	-5.029	-2.38	-4.655	-2.878	-2.553	-4.331	-6.931
t109	-3.319	-2.937	-3.495	-4.957	-3.079	-5.032	-4.794	-5.119	-2.704	-4.279	-5.67	-3.177	-3.964	-3.288	-4.45	-3.485	-3.3	-3.417	-4.536	-5.953	-3.716	-1.57	-3.145	-4.228	-6.449	-3.908	-2.451	-3.567	-4.163	-2.858
t64	-3.527	-2.978	-5.137	-5.255	-4.504	-2.846	-2.919	-4.339	-3.454	-3.392	-5.416	-4.246	-4.453	-4.23	-4.563	-6.972	-3.612	-1.511	-3.714	-4.663	-5.24	-2.328	-3.054	-4.058	-4.547	-4.173	-5.16	-3.463	-2.81	-2.542
t151	-4.367	-4.573	-5.559	-6.095	-6.628	-2.31	-3.949	-4.639	-3.725	-4.629	-6.82	-4.45	-4.568	-5.662	-3.648	-10.583	-3.322	-0.693	-4.695	-6.827	-8.394	-4.309	-3.88	-4.721	-6.373	-5.064	-7.392	-5.402	-2.844	-2.366
t125	-3.817	-2.58	-4.122	-4.803	-3.195	-4.033	-3.36	-4.659	-3.991	-3.505	-5.372	-3.768	-4.242	-3.269	-4.966	-4.442	-3.649	-3.159	-3.884	-4.432	-3.542	-1.522	-3.068	-4.09	-6.323	-3.981	-4.198	-3.201	-3.785	-2.144
t168	-3.476	-2.862	-4.425	-5.153	-3.986	-3.498	-3.46	-4.395	-4.611	-3.431	-5.48	-3.484	-4.166	-3.569	-4.414	-5.723	-3.029	-2.114	-3.67	-5.086	-4.647	-1.804	-3.069	-4.001	-6.436	-4.004	-5.159	-3.479	-3.283	-2.027
t4	-3.817	-2.455	-4.777	-4.697	-3.335	-3.652	-2.829	-4.758	-2.555	-3.526	-5.109	-4.664	-4.627	-3.707	-5.507	-4.814	-4.43	-3.085	-3.472	-3.805	-3.521	-1.731	-3	-4.16	-4.238	-4.106	-3.755	-2.867	-3.523	-2.947
t10	-2.968	-3.482	-5.089	-6.613	-3.419	-7.868	-6.945	-6.706	-4.988	-5.096	-6.101	-3.845	-5.533	-3.559	-6.593	-1.472	-4.236	-5.079	-4.959	-7.565	-3.134	-1.157	-4.131	-5.294	-6.385	-4.661	-2.111	-3.534	-5.719	-5.745
t107	-2.287	-2.849	-6.369	-6.186	-4.546	-4.544	-4.254	-5.184	-4.58	-3.617	-5.036	-4.46	-5.435	-4.045	-6.025	-4.847	-3.819	-2.112	-2.699	-5.733	-4.417	-1.374	-3.295	-4.41	-3.114	-4.289	-4.413	-2.666	-3.37	-5.06
t147	-4.034	-2.596	-4.684	-4.423	-3.566	-3.318	-2.848	-4.842	-1.666	-3.955	-5.229	-4.919	-4.589	-3.913	-5.424	-5.284	-4.524	-3.213	-2.992	-4.035	-3.92	-2.096	-3.056	-4.247	-4.297	-4.254	-3.963	-3.084	-3.537	-2.981
t103	-4.025	-2.754	-3.486	-4.742	-2.643	-5.28	-4.41	-5.323	-3.1	-4.269	-5.691	-3.665	-4.242	-3.174	-5.166	-2.935	-3.936	-4.438	-4.508	-5.146	-3.003	-1.463	-3.299	-4.419	-7.068	-4.091	-2.603	-3.452	-4.654	-2.636
t150	-3.802	-2.695	-3.731	-4.813	-2.811	-4.859	-4.056	-5.082	-2.835	-3.966	-5.536	-3.721	-4.214	-3.32	-4.992	-3.494	-3.922	-3.791	-4.601	-4.867	-3.219	-1.523	-3.149	-4.268	-6.127	-3.991	-2.574	-3.324	-4.218	-2.658
t146	-3.591	-3.551	-3.386	-4.961	-4.298	-3.575	-4.559	-4.559	-2.861	-4.44	-6.149	-2.859	-3.479	-3.805	-3.171	-6.295	-2.472	-1.999	-4.483	-6.682	-5.711	-2.614	-3.193	-4.1	-7.513	-4.051	-4.47	-4.49	-3.445	-1.738
t57	-3.323	-2.535	-5.524	-5.623	-3.197	-5.36	-3.912	-5.502	-3.736	-3.647	-5.134	-4.792	-5.384	-3.737	-6.56	-3.213	-4.84	-3.811	-3.985	-4.429	-2.874	-1.169	-3.344	-4.574	-3.748	-4.288	-2.789	-2.583	-4.217	-4.512
t81	-3.234	-2.673	-4.653	-5.152	-3.841	-3.814	-3.617	-4.605	-4.671	-3.505	-5.268	-3.663	-4.42	-3.428	-4.922	-4.976	-3.171	-2.501	-2.978	-5.121	-4.213	-1.459	-3.077	-4.061	-6.071	-4.018	-4.966	-3.132	-3.46	-2.616
t139	-3.667	-3.957	-5.558	-5.732	-6.192	-2.331	-3.849	-4.548	-4.122	-4.393	-6.18	-4.248	-4.582	-5.004	-4.037	-9.249	-2.94	-0.905	-2.909	-6.687	-7.53	-3.397	-3.578	-4.451	-6.136	-4.767	-7.475	-4.582	-2.782	-2.698
t149	-3.459	-3.265	-5.556	-5.31	-5.32	-2.404	-3.189	-4.456	-3.578	-3.891	-5.553	-4.496	-4.651	-4.52	-4.624	-7.908	-3.384	-1.316	-2.457	-5.486	-6.154	-2.694	-3.243	-4.218	-4.845	-4.463	-6.507	-3.71	-2.739	-2.917
t71	-3.436	-3.278	-6.65	-5.919	-5.584	-2.611	-2.835	-4.623	-3.859	-3.54	-5.436	-5.249	-5.339	-5.09	-5.389	-8.251	-4.164	-1.099	-2.981	-4.878	-6.18	-2.752	-3.359	-4.418	-3.117	-4.667	-6.233	-3.443	-2.592	-3.792
t50	-4.001	-3.14	-5.635	-5.202	-5.03	-2.236	-2.45	-4.364	-3.218	-3.565	-5.525	-4.947	-4.753	-4.716	-4.853	-8.124	-4.033	-1.47	-3.232	-4.393	-5.836	-2.845	-3.205	-4.232	-4.293	-4.497	-6.111	-3.639	-2.689	-2.59
t62	-3.185	-2.522	-5.147	-4.964	-3.766	-3.728	-3.347	-4.823	-3.239	-3.662	-5.007	-4.442	-4.748	-3.595	-5.565	-4.752	-3.929	-2.747	-2.515	-4.67	-3.822	-1.534	-3.034	-4.154	-4.21	-4.108	-4.446	-2.752	-3.44	-3.544
