"lambda","mu","rho","turnover","net_div","class","relative_mode","relative_median","cv","endpoint_ratio","trend","turnover_bin"
0.45,0.45,0,1,0,"Uniform",1e-04,0.499048096192385,0.0025997806702026,0.991061279493848,-0.0089387205061518,"High (0.75-1)"
0.5,0.45,0,0.9,0.05,"Rising",1,0.561166132264529,0.140704266466493,1.62745668029402,0.627456680294025,"High (0.75-1)"
0.05,0,0.2,0,0.05,"Rising",1,0.531109018036072,0.0739302597483471,1.29173649551711,0.291736495517113,"Low (0-0.25)"
0.1,0,0.2,0,0.1,"Rising",1,0.551147094188377,0.11768541379776,1.5055389544428,0.505538954442796,"Low (0-0.25)"
0.15,0,0.2,0,0.15,"Rising",0.923855310621242,0.553150901803607,0.129294926421994,1.55732032346492,0.557320323464921,"Low (0-0.25)"
0.2,0,0.2,0,0.2,"Unimodal",0.69341743486974,0.541128056112224,0.118015192449931,1.42397182258699,0.423971822586991,"Low (0-0.25)"
0.25,0,0.2,0,0.25,"Unimodal",0.555154709418838,0.517082364729459,0.113960660612736,1.16284054601922,0.162840546019224,"Low (0-0.25)"
0.3,0,0.2,0,0.3,"Unimodal",0.462979559118237,0.485021442885772,0.153176182424156,0.865431349770829,-0.134568650229171,"Low (0-0.25)"
0.35,0,0.2,0,0.35,"Decaying",0.396853907815631,0.448952905811623,0.22749955744923,0.600855436876214,-0.399144563123786,"Low (0-0.25)"
0.4,0,0.2,0,0.4,"Decaying",0.34675871743487,0.412884368737475,0.315564885678379,0.397416510709831,-0.602583489290169,"Low (0-0.25)"
0.45,0,0.2,0,0.45,"Decaying",0.308686372745491,0.378819639278557,0.40648480201505,0.254527047960793,-0.745472952039207,"Low (0-0.25)"
0.5,0,0.2,0,0.5,"Decaying",0.276625450901804,0.34675871743487,0.495423516193093,0.159675107576581,-0.840324892423419,"Low (0-0.25)"
0.05,0.05,0.2,1,0,"Decaying",1e-04,0.47700621242485,0.0552080889522429,0.82646281,-0.17353719,"High (0.75-1)"
0.1,0.05,0.2,0.5,0.05,"Uniform",0.811642084168337,0.505059519038076,0.0120508913665142,1.0393324323994,0.0393324323994012,"Med-Low (0.25-0.5)"
0.15,0.05,0.2,0.333333333333333,0.1,"Unimodal",0.847710621242485,0.52108997995992,0.0512311164685133,1.18351586899616,0.183515868996158,"Med-Low (0.25-0.5)"
0.2,0.05,0.2,0.25,0.15,"Unimodal",0.675383166332665,0.52309378757515,0.0657394344165455,1.20502031680403,0.205020316804026,"Low (0-0.25)"
0.25,0.05,0.2,0.2,0.2,"Unimodal",0.549143286573146,0.511070941883768,0.0747850377213237,1.09525019079465,0.0952501907946463,"Low (0-0.25)"
0.3,0.05,0.2,0.166666666666667,0.25,"Unimodal",0.460975751503006,0.489029058116233,0.110734629493574,0.897610669233549,-0.102389330766451,"Low (0-0.25)"
0.35,0.05,0.2,0.142857142857143,0.3,"Decaying",0.396853907815631,0.458971943887776,0.177036898022444,0.675299561912189,-0.324700438087811,"Low (0-0.25)"
0.4,0.05,0.2,0.125,0.35,"Decaying",0.34675871743487,0.424907214428858,0.259443617995449,0.475932990381846,-0.524067009618154,"Low (0-0.25)"
0.45,0.05,0.2,0.111111111111111,0.4,"Decaying",0.308686372745491,0.39284629258517,0.347965307611334,0.320054343021765,-0.679945656978235,"Low (0-0.25)"
0.5,0.05,0.2,0.1,0.45,"Decaying",0.278629258517034,0.360785370741483,0.436964972148074,0.208381560271868,-0.791618439728132,"Low (0-0.25)"
0.1,0.1,0.2,1,0,"Decaying",1e-04,0.454964328657315,0.105716190496639,0.6944722225,-0.3055277775,"High (0.75-1)"
0.15,0.1,0.2,0.666666666666667,0.05,"Uniform",1e-04,0.481013827655311,0.045613679573704,0.854282580048701,-0.145717419951299,"Med-High (0.5-0.75)"
0.2,0.1,0.2,0.5,0.1,"Uniform",0.404869138276553,0.495040480961924,0.0226432295206498,0.954760910996287,-0.0452390890037125,"Med-Low (0.25-0.5)"
0.25,0.1,0.2,0.4,0.15,"Uniform",0.462979559118237,0.495040480961924,0.0422997064311185,0.960032934376691,-0.0399670656233092,"Med-Low (0.25-0.5)"
0.3,0.1,0.2,0.333333333333333,0.2,"Unimodal",0.422903406813627,0.483017635270541,0.0801247766533911,0.868491732874578,-0.131508267125422,"Med-Low (0.25-0.5)"
0.35,0.1,0.2,0.285714285714286,0.25,"Unimodal",0.376815831663327,0.462979559118237,0.137632371462659,0.713768499648621,-0.286231500351379,"Med-Low (0.25-0.5)"
0.4,0.1,0.2,0.25,0.3,"Decaying",0.336739679358717,0.43492625250501,0.211104366590072,0.541580143083552,-0.458419856916448,"Low (0-0.25)"
0.45,0.1,0.2,0.222222222222222,0.35,"Decaying",0.3026749498998,0.404869138276553,0.293957909253978,0.386276428864903,-0.613723571135097,"Low (0-0.25)"
0.5,0.1,0.2,0.2,0.4,"Decaying",0.274621643286573,0.374812024048096,0.380524740694531,0.263265527152962,-0.736734472847038,"Low (0-0.25)"
0.15,0.15,0.2,1,0,"Decaying",1e-04,0.43492625250501,0.152355209377356,0.591751479822485,-0.408248520177515,"High (0.75-1)"
0.2,0.15,0.2,0.75,0.05,"Decaying",1e-04,0.458971943887776,0.0970182436281309,0.714591530662092,-0.285408469337908,"High (0.75-1)"
0.25,0.15,0.2,0.6,0.1,"Decaying",1e-04,0.470994789579158,0.0706172332854979,0.786447734932047,-0.213552265067953,"Med-High (0.5-0.75)"
0.3,0.15,0.2,0.5,0.15,"Unimodal",0.270614028056112,0.470994789579158,0.0790502838561019,0.782818435141987,-0.217181564858013,"Med-High (0.5-0.75)"
0.35,0.15,0.2,0.428571428571429,0.2,"Unimodal",0.308686372745491,0.458971943887776,0.117028819994029,0.705505417539871,-0.294494582460129,"Med-Low (0.25-0.5)"
0.4,0.15,0.2,0.375,0.25,"Decaying",0.300671142284569,0.438933867735471,0.175666073585801,0.581125623292084,-0.418874376707916,"Med-Low (0.25-0.5)"
0.45,0.15,0.2,0.333333333333333,0.3,"Decaying",0.282636873747495,0.414888176352706,0.248226650092478,0.443977929896893,-0.556022070103107,"Med-Low (0.25-0.5)"
0.5,0.15,0.2,0.3,0.35,"Decaying",0.26259879759519,0.386834869739479,0.328784194581774,0.319760432196737,-0.680239567803263,"Med-Low (0.25-0.5)"
0.2,0.2,0.2,1,0,"Decaying",1e-04,0.416891983967936,0.19575428703121,0.51024489877551,-0.48975510122449,"High (0.75-1)"
0.25,0.2,0.2,0.8,0.05,"Decaying",1e-04,0.438933867735471,0.144455648967231,0.606560987003795,-0.393439012996205,"High (0.75-1)"
0.3,0.2,0.2,0.666666666666667,0.1,"Decaying",1e-04,0.448952905811623,0.119897810461575,0.659016879285299,-0.340983120714701,"Med-High (0.5-0.75)"
0.35,0.2,0.2,0.571428571428571,0.15,"Decaying",0.0882675350701403,0.448952905811623,0.125880904501099,0.650502307633601,-0.349497692366399,"Med-High (0.5-0.75)"
0.4,0.2,0.2,0.5,0.2,"Decaying",0.202484569138277,0.438933867735471,0.160257545521421,0.584440521289051,-0.415559478710949,"Med-Low (0.25-0.5)"
0.45,0.2,0.2,0.444444444444444,0.25,"Decaying",0.230537875751503,0.418895791583166,0.215900020892976,0.482295339107854,-0.517704660892146,"Med-Low (0.25-0.5)"
0.5,0.2,0.2,0.4,0.3,"Decaying",0.230537875751503,0.396853907815631,0.285490681903616,0.370566888230633,-0.629433111769367,"Med-Low (0.25-0.5)"
0.25,0.25,0.2,1,0,"Decaying",1e-04,0.398857715430862,0.236400747874274,0.44448889,-0.55551111,"High (0.75-1)"
0.3,0.25,0.2,0.833333333333333,0.05,"Decaying",1e-04,0.418895791583166,0.18853015471191,0.521298817159185,-0.478701182840815,"High (0.75-1)"
0.35,0.25,0.2,0.714285714285714,0.1,"Decaying",1e-04,0.428914829659319,0.165919519781015,0.560225395058278,-0.439774604941722,"Med-High (0.5-0.75)"
0.4,0.25,0.2,0.625,0.15,"Decaying",1e-04,0.428914829659319,0.171256747958549,0.549105426351646,-0.450894573648354,"Med-High (0.5-0.75)"
