feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t99	0.17	0.942	-0.199	-1.54	1.685	-0.304	-0.276	0.235	-2.901	1.369	-0.185	0.28	1.19	-1.098	0.79	0.097	0.494	-0.106	-0.122	-1.517	0.144	1.399	0.819	-0.104	1.456	-1.812	-0.724	-0.181	0.21	-0.211
t29	0.368	0.417	1.106	-3.07	-1.032	0.958	0.273	0.158	-1.189	1.201	0.226	-0.297	-0.021	-0.036	1.237	-0.142	-0.672	1.009	0.709	-0.241	0.174	1.794	-0.127	-0.521	0.524	1.361	-0.821	0.234	0.334	-3.916
t45	-0.154	0.57	1.613	0.219	0.006	-0.061	0.514	-0.201	0.242	0.781	-0.128	-0.834	2.683	0.51	-0.375	-0.268	-0.199	-0.343	0.463	-1.799	0.549	-1.911	-1.775	1.169	-0.716	0.789	-0.05	-0.147	0.008	-1.153
t72	-1.011	0.181	0.083	4.625	-0.708	0.826	0.679	-0.355	0.644	-0.375	-0.131	0.892	0.67	0	0.548	-0.266	0.511	-0.5	-0.639	0.541	-0.027	-1.612	-1.045	-0.71	-1.568	0.221	0.844	0.022	-1.72	-0.62
t69	-0.59	-0.914	0.168	2.825	-0.695	1.317	0.466	-0.139	1.903	-1.8	0.901	1.046	-0.011	-1.134	0.019	1.087	0.415	-0.818	-0.194	1.84	0.245	-1.414	-2.286	-0.372	-1.148	0.408	2.078	0.366	-1.395	-2.172
t57	0.34	-1.468	0.273	1.896	-1.439	-0.149	-1.234	1.212	0.047	-1.109	-0.09	-0.63	-1.091	1.354	0.185	0.209	-0.221	1.142	-0.21	0.658	-0.2	2.037	-1.701	0.076	-0.297	0.132	-1.077	-0.081	-0.217	1.654
t54	0.299	-0.79	0.21	1.782	-0.979	0.08	-0.863	0.838	-0.894	-1.353	-1.143	-0.828	-0.9	2.174	1.199	0.565	-0.239	1.643	-0.031	0.776	0.142	1.137	-1.59	-0.015	0.015	-0.545	-1.437	-0.1	-0.245	1.09
t46	0.554	2.085	0.309	-0.358	-0.505	0.291	-0.626	0.809	-2.892	0.033	-0.442	-1.016	1.028	-0.095	2.842	-0.976	0.712	1.972	0.317	-0.262	0.152	-1.008	-0.242	-0.691	-0.985	-0.619	0.298	-0.041	-1.288	0.645
t52	0.991	1.385	0.455	-0.683	-0.006	-0.484	0.227	0.223	-3.252	1.084	0.456	-0.242	0.426	-0.177	2.135	-0.505	0.619	1.411	0.514	0.71	0.411	-2.331	-0.036	-0.406	-0.355	-0.844	0.879	-0.005	-0.45	-2.15
t30	0.4	-0.159	0.46	-6.395	-0.017	0.899	0.671	0.574	-2.629	1.47	0.046	-0.664	0.854	-0.522	2.127	0.641	-0.466	1.677	0.57	0.669	0.256	1.386	1.266	-0.223	1.469	0.15	-1.34	0.183	-0.425	-2.928
t51	0.674	0.439	0.823	-5.903	-0.514	1.12	0.997	0.098	-1.471	-0.339	-0.88	-0.184	2.082	-0.539	0.858	0.822	-0.048	1.385	0.679	0.5	0.141	-0.525	-0.09	-0.261	0.886	1.559	-0.619	0.312	-0.376	-1.628
t82	0.707	-0.462	0.058	1.24	-1.26	0.196	0.277	1.612	-0.98	-1.456	0.274	-1.201	-1.007	1.128	1.392	-0.087	0.117	0.886	0.047	0.41	0.075	-0.169	-1.929	-0.021	0.375	-0.319	-1.281	0.167	0.407	0.805
t73	0.876	-0.468	0.042	3.029	-0.82	-0.06	0.178	0.667	-1.73	-0.427	-0.134	-1.507	0.144	1.367	0.613	0.839	0.086	0.837	-0.039	-0.025	-0.205	1.664	-3.011	-0.237	0.24	-0.721	-1.425	-0.02	-0.015	0.262
t97	-0.101	0.018	2.061	-3.046	0.004	0.445	1.574	0.264	0.588	1.744	-0.663	-1.517	2.507	-0.423	2.058	-0.027	-0.231	-1.836	0.17	-0.824	0.735	-0.851	-2.54	0.447	0.028	-0.88	-0.422	0.077	0.373	0.267
t63	0.141	-0.639	1.953	-3.654	-0.44	0.674	1.519	-0.655	-0.355	1.965	-1.593	-2.131	3.761	0.432	1.145	-0.238	1.151	-1.527	0.481	-0.699	0.963	-1.711	-1.712	0.85	0.113	0.833	-0.249	0.428	0.531	-1.339
t89	0.142	0.339	0.148	-3.683	-0.106	-0.847	0.092	1.859	1.807	1.175	-0.23	-0.637	1.353	0.589	-1.035	0.903	-0.695	0.076	0.072	-1.209	-0.026	-0.598	-0.414	0.177	-0.271	0.912	0.385	0.112	-0.946	0.557
t32	0.576	1.264	-0.051	-3.63	0.04	-0.601	0.495	1.23	0.927	0.697	0.687	-0.665	0.033	0.935	0.292	0.816	-0.141	-1.483	0.307	0.854	0.171	-1.97	-0.816	0.032	-0.291	1.008	-0.612	0.268	0.215	-0.587
t49	0.332	-0.839	0.179	-0.422	-0.692	-0.064	0.289	0.574	-0.006	-0.983	1.066	-1.737	1.797	-0.458	0.879	-0.36	0.208	2.341	0.263	-0.136	0.141	-1.379	-0.371	-0.124	-0.276	-0.934	0.348	-0.119	0.127	0.359
t13	0.251	-0.471	0.328	-0.743	-0.342	-0.243	0.381	-0.28	-1.515	-1.045	0.743	-0.688	1.932	-0.347	-0.627	0.112	1.019	2.23	0.45	0.526	0.213	-2.488	-0.717	-0.818	1.098	-1.224	0.068	0.35	0.815	1.032
t56	0.146	0.204	0.441	-2.348	-0.062	-0.299	0.666	0.335	-0.943	1.264	-0.346	-0.443	-0.139	-0.206	0.07	1.559	-0.263	0.849	0.22	0.949	0.226	-1.896	-1.256	-0.377	-1.073	1.787	-0.423	0.229	0.409	0.717
t90	-0.121	1.432	0.264	-2.664	1.765	-0.468	1.168	-0.875	-1.332	-0.938	-1.398	-0.112	0.913	-1.985	-1.462	0.627	0.857	-0.458	0.423	1.364	0.293	-0.191	1.577	0.645	1.386	-0.24	-0.758	-0.237	-0.633	1.159
t87	-0.47	0.974	0.638	-3.201	1.454	-0.317	0.58	-0.366	1.788	-1.079	-1.538	-0.299	-0.625	-1.006	-1.259	0.62	0.139	-0.485	0.178	0.355	0.295	0.058	0.716	0.38	1.676	-0.52	-0.819	-0.027	-0.358	2.52
t36	-0.375	0.967	0.775	1.048	0.468	0.201	-0.236	-0.835	0.956	-1.525	-0.753	0.111	-1.405	-1.355	2.38	-0.616	0.238	-1.697	-0.004	-1.597	0.174	-0.191	1.506	0.526	1.585	0.332	-0.711	0.304	-0.278	0.005
t28	-0.08	0.834	0.246	-0.041	1.077	0.651	-0.771	-0.489	1.596	-1.449	-1.012	0.538	-0.952	-0.839	0.06	-0.497	0.599	-1.669	0.096	-1.606	0.146	-0.222	0.032	0.277	1.451	0.456	-0.024	-0.062	0.328	1.324
t24	-0.377	-0.295	0.686	-1.933	0.541	-0.396	-0.326	0.572	0.16	-0.428	-0.456	-0.904	1.071	-2.03	1.204	-0.679	0.611	1.828	0.044	-2.071	0.315	0.039	0.682	-0.335	-1.554	1.912	-0.016	0.327	-0.751	2.561
t41	-0.441	1.58	0.229	-3.075	0.361	-1.435	-0.95	0.881	0.196	-0.488	-0.181	-1.202	1.202	-1.509	-0.036	-0.076	0.885	0.983	0.164	-2.692	0.275	-0.09	0.734	0.182	-0.739	1.624	1.026	0.239	-0.224	2.575
t7	-0.394	0.857	-0.041	0.573	-0.033	-0.511	1.567	0.808	-2.809	-1.141	-1.02	-0.286	1.645	1.227	0.528	1.602	0.019	0.583	0.222	0.104	0.095	0.777	-1.088	-1.125	-0.303	0.361	-0.857	0.192	0.989	-2.539
t14	0.31	0.913	0.186	1.964	-0.068	-0.034	1.275	0.179	-3.824	0.216	-0.461	-0.938	0.653	0.984	1.298	0.927	0.02	0.834	0.44	-0.695	0.329	-1.253	-0.326	-0.649	0.667	-0.337	-0.147	0.562	0.917	-3.944
t48	-0.065	-0.357	-0.125	0.087	-0.7	0.837	-0.255	0.152	-0.628	0.987	-0.137	0.17	1.874	-0.495	1.638	0.038	0.1	2.114	-0.277	-1.117	0.045	1.879	-0.563	-0.317	0.707	0.017	-0.287	-0.042	-0.067	-5.209
t77	-0.37	1.179	0.2	3.682	0.191	0.72	1.412	1.285	-4.619	-0.548	-0.839	0.821	-1.013	0.505	1.213	0.916	0.437	-0.058	0.301	-2.413	-0.155	1.976	-0.72	-0.104	-0.187	-0.044	0.013	0.069	0.335	-4.185
t12	-0.021	1.745	0.579	2.031	0.259	0.831	1.1	1.979	-3.846	0.281	-0.771	-0.406	-1.091	0.555	0.394	0.633	0.352	-0.217	0.158	-1.89	-0.146	1.537	-1.105	0.042	0.596	-0.726	0.003	0.209	0.701	-3.764
t61	-0.396	-0.328	-0.245	0.087	-0.069	1.236	-0.151	0.936	-2.145	1.013	-0.799	-0.659	0.187	-0.336	0.127	1.242	-0.026	-0.518	0.109	0.32	-0.113	1.31	0.056	-0.14	0.402	-0.21	0.205	0.383	-0.575	-0.904
t100	-0.06	0.077	0.362	0.37	0.225	0.293	0.27	-0.208	-3.469	0.492	-0.024	-0.649	0.198	0	-1.5	1.879	-0.285	0.255	0.191	0.341	-0.141	-0.353	0.316	-0.58	-0.791	0.642	0.648	0.401	-0.302	1.405
t60	0.088	-0.47	-0.226	3.934	1.135	1.799	-0.047	1.253	-0.775	-0.009	-2.116	0.272	-0.923	-1.622	2.792	-0.002	0.518	-0.463	-0.145	-0.315	-0.022	-0.699	-0.799	0.328	-0.13	-1.127	0.624	-0.407	0.022	-2.468
t26	0.439	2.62	0.308	0.387	0.054	0.786	-0.3	0.708	-3.627	0.473	-0.352	-1.113	-0.21	-0.44	1.569	-0.758	0.11	1.64	0.12	1.255	0.06	-1.061	0.557	-0.643	-0.778	-1.244	0.179	-0.208	-0.809	0.278
t9	0.367	1.065	0.19	-0.143	0.171	0.756	-0.333	1.24	-3.012	0.918	-0.589	-0.892	1.557	-0.43	0.965	-0.365	0.274	0.673	0.031	2.038	0.331	-2.224	0.404	0.109	-0.362	-1.127	0.143	-0.041	-0.823	-0.891
t21	0.151	0.948	1.451	-0.923	0.233	0.065	-1.074	-0.513	-2.272	0.089	-1.957	-1.096	-0.149	0.036	2.127	1.151	0.576	1.011	0.076	-1.576	0.66	0.11	-0.357	0.355	1.175	0.788	-1.206	0.174	-0.233	0.181
t47	-0.387	0.464	1.443	0.995	0.241	0.382	-1.687	-0.511	-3.143	-0.028	-2.059	-0.558	-0.976	0.255	1.795	1.786	0.62	0.065	-0.044	-0.616	0.36	0.03	0.284	0.343	2.149	0.741	-1.028	0.227	-0.408	-0.737
t75	0.543	1.129	0.194	-2.513	-0.796	0.105	0.163	0.73	3.557	-1.273	0.39	-0.174	-0.251	-1.791	1.225	0.658	-0.41	1.783	-0.367	-0.176	-0.263	0.928	-0.286	-2.266	0.006	-1.687	-1.006	0.09	0.889	0.869
t39	0.198	0.865	0.447	-1.487	-1.038	0.24	0.516	0.082	0.816	-0.921	-0.073	-0.776	0.317	-1.678	0.408	0.81	0.192	1.89	-0.111	0.184	-0.147	2.061	0.303	-1.653	-0.315	-1.201	-0.352	-0.04	0.839	-0.374
t76	0.725	-0.105	-0.076	-6.471	-0.151	0.497	0.089	-1.019	0.025	0.266	-1.411	-0.711	0.902	-0.964	2.781	0.483	-0.131	0.549	0.469	-0.012	-0.055	2.194	0.949	0.832	0.635	0.575	-1.283	-0.016	0.047	0.387
t6	0.442	0.728	0.407	-6.507	-0.134	0.634	0.143	-0.296	-1.557	1.275	-1.005	-0.101	1.263	0.109	2.287	-0.477	-0.575	1.305	0.38	-1.374	-0.007	1.506	-0.059	0.815	0.127	0.855	-1.171	-0.023	0.092	0.918
t16	-0.378	1.844	0.423	-1.199	-1.518	1.23	-0.371	0.633	-0.67	1.112	-0.676	-1.425	0.906	-0.789	3.015	-1.088	0.554	1.292	-0.343	-0.367	0.104	-1.145	-1.917	0.665	0.738	0.529	-0.307	-0.185	0.011	-0.677
t58	-0.822	2.746	0.399	-2.319	-1.014	0.655	0.056	0.501	-0.212	0.921	0.085	-1.491	1.187	-1.069	2.942	-1.328	0.541	0.921	-0.407	-0.555	-0.044	-0.974	-1.52	0.74	0.402	1.024	-0.771	0.192	-0.4	-0.391
t2	0.911	-0.086	0.436	-2.322	0.377	0.811	0.228	1.39	0.041	1.399	-0.57	-1.836	-1.553	-0.726	0.497	1.62	-0.092	-0.758	0.294	0.538	0.593	-1.933	-1.173	0.141	-0.369	2.182	-0.67	0.395	0.579	-0.344
