feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t80	-0.159	0.363	0.208	1.104	-0.227	-0.083	-0.16	0.161	-0.48	0.224	-0.06	-0.445	0.283	-0.292	-0.097	0.521	-0.046	0.172	0.124	-0.52	0.169	-0.102	0.382	0.259	0.528	0.48	-0.058	0.003	-0.196	-1.915
t23	0.108	0.117	-0.107	0.065	-0.4	-0.382	0.228	0.456	-0.555	0.105	0.219	-0.267	0.435	0.06	0.582	0.41	0.05	0.671	0.056	-0.505	0.113	-0.201	-0.098	0.085	0.454	-0.309	-0.186	0.078	0.196	-1.455
t95	0.008	0.199	0.089	0.165	-0.124	0.036	-0.311	0.553	0.604	0.191	-0.203	-0.317	0.629	-0.189	1.346	0.199	0.246	-0.078	-0.027	-0.822	0.244	0.156	-1.058	-0.255	-0.097	-0.178	-0.373	0.063	-0.134	-0.423
t94	0.069	0.473	0.263	-0.753	-0.051	0.151	-0.059	0.36	-0.872	0.38	-0.258	0.007	-0.284	-0.142	1.191	0.084	0.051	0.34	0.106	0.148	0.284	-0.105	-0.855	-0.22	0.229	0.23	-0.127	0.22	0.041	-0.963
t10	0.014	0.341	-0.068	0.191	0.237	0.372	0.249	0.465	0.155	0.323	-0.332	-0.467	0.51	-0.704	0.322	-0.15	0.004	0.51	-0.115	-0.359	0.061	0.414	-0.832	-0.374	-0.148	0.267	-0.419	-0.096	0	-0.404
t83	-0.066	0.298	0.169	-0.424	0.315	-0.019	-0.126	0.624	-0.226	-0.314	-0.052	-0.478	0.168	-0.605	0.863	0.424	0.348	0.293	0.14	-0.907	0.302	0.435	0.239	0.242	0.23	-0.113	-0.459	-0.026	0.016	-1.507
t65	-0.02	0.302	0.011	0.069	0.241	0.58	0.13	0.059	0.201	0.14	-0.921	-0.25	-0.047	-0.071	0.849	0.205	0.172	0.663	0.137	-0.48	0.219	-0.539	-0.442	0.099	-0.134	0.08	-0.086	0.054	0.219	-1.404
t71	-0.1	0.498	0.376	-0.607	0.167	-0.228	0.416	0.409	-0.481	0.229	-0.616	-0.795	0.715	-0.203	0.359	0.016	0.369	0.361	0.055	-0.68	0.174	0.153	-0.837	0.25	0.152	-0.175	-0.021	0.236	0.131	-0.357
t17	-0.212	0.482	0.017	0.708	-0.385	-0.59	0.249	0.364	-0.493	0.197	-0.428	-0.045	0.172	-0.865	0.764	0.259	-0.087	0.864	-0.165	-0.876	0.086	0.184	-0.365	-0.212	-0.047	0.084	-0.21	0.133	-0.032	0.56
t78	0.102	0.263	-0.111	-0.945	-0.234	0.219	0.073	0.704	-0.083	0.726	-0.269	-0.255	0.271	-0.193	-0.198	0.447	0.067	-0.591	0.139	-0.2	0.177	-0.885	-0.376	-0.048	0.175	-0.007	0.228	0.038	0.058	0.606
