V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t118	0.251	-2.002	0.723	-0.081	0.007	1.054	-2.18	0.599	0.51	-0.12	0.283	1.939	3.103	-0.432	-0.234	-0.974	-1.455	-1.913	1.684	-1.684	0.836	-0.116	0.783	0.771	0.33	-1.04	0.378	-1.965	0.271	0.67
t195	-2.687	-3.057	-0.94	-1.287	2.36	1.837	0.311	-3.5	1.16	1.737	1.535	0.598	0.919	2.553	-1.329	-2.079	2.293	1.753	0.301	-0.418	0.257	1.001	-0.747	1.497	-1.289	-3.983	4.152	-3.995	0.061	0.956
t53	-1.007	-2.522	0.015	-0.577	0.996	1.394	-1.148	-1.126	0.791	0.823	0.821	1.383	2.165	0.88	-0.63	-1.375	0.147	-0.469	1.048	-1.085	0.555	0.374	0.113	1.081	-0.334	-2.464	1.968	-2.79	0.168	0.801
t183	-1.216	-2.608	-0.105	-0.661	1.155	1.447	-0.979	-1.409	0.836	1.019	0.908	1.295	2.008	1.092	-0.703	-1.439	0.406	-0.185	0.937	-0.988	0.511	0.452	0.004	1.129	-0.442	-2.721	2.226	-2.939	0.147	0.819
t143	-1.216	-2.622	-0.099	-0.656	1.151	1.448	-0.991	-1.4	0.838	1.08	0.908	1.306	2.005	1.095	-0.688	-1.41	0.412	-0.213	0.941	-0.965	0.503	0.454	0.004	1.127	-0.432	-2.789	2.213	-2.97	0.14	0.821
t111	-1.169	-2.422	-0.083	-0.686	1.174	1.432	-0.922	-1.422	0.826	0.477	0.893	1.257	2.053	0.956	-0.853	-1.648	0.356	0.004	1.022	-1.164	0.598	0.415	0.058	1.136	-0.499	-2.199	2.274	-2.883	0.207	0.807
t57	1.022	-1.727	1.166	0.241	-0.614	0.851	-2.834	1.681	0.346	-0.635	-0.041	2.297	3.673	-1.242	0.052	-0.714	-2.45	-2.876	1.989	-2.023	0.985	-0.405	1.188	0.588	0.755	-0.283	-0.587	-1.348	0.338	0.602
t153	-0.458	-2.334	0.328	-0.348	0.55	1.247	-1.623	-0.351	0.671	0.51	0.586	1.64	2.572	0.316	-0.418	-1.164	-0.559	-1.14	1.286	-1.317	0.658	0.165	0.398	0.945	-0.026	-1.956	1.261	-2.396	0.206	0.749
t104	-0.669	-2.189	0.198	-0.493	0.794	1.3	-1.311	-0.751	0.719	-0.051	0.685	1.462	2.43	0.418	-0.716	-1.547	-0.281	-0.582	1.259	-1.434	0.72	0.224	0.326	1.024	-0.252	-1.522	1.681	-2.478	0.27	0.761
t40	-0.754	-2.253	0.15	-0.52	0.851	1.323	-1.259	-0.855	0.736	0.112	0.719	1.435	2.365	0.526	-0.714	-1.528	-0.171	-0.516	1.219	-1.365	0.688	0.259	0.274	1.039	-0.282	-1.703	1.764	-2.562	0.25	0.769
t50	-0.065	-1.858	0.533	-0.275	0.345	1.136	-1.757	0.042	0.584	-0.798	0.431	1.694	2.888	-0.259	-0.605	-1.487	-1.053	-1.141	1.567	-1.812	0.893	-0.02	0.656	0.887	0.023	-0.581	0.985	-2.006	0.355	0.697
t72	0.391	-1.724	0.794	-0.079	-0.031	1.015	-2.163	0.693	0.484	-0.998	0.236	1.914	3.225	-0.71	-0.404	-1.276	-1.636	-1.758	1.769	-1.98	0.967	-0.19	0.889	0.772	0.29	-0.212	0.381	-1.694	0.378	0.654
t83	0.991	-1.7	1.149	0.22	-0.567	0.863	-2.782	1.614	0.355	-0.83	-0.022	2.256	3.657	-1.22	0.015	-0.793	-2.396	-2.831	1.992	-2.051	0.992	-0.392	1.168	0.607	0.712	-0.159	-0.504	-1.322	0.359	0.61
t174	-0.241	-2.243	0.452	-0.262	0.383	1.19	-1.799	-0.056	0.623	0.34	0.495	1.736	2.733	0.094	-0.348	-1.087	-0.827	-1.417	1.413	-1.414	0.706	0.083	0.515	0.892	0.088	-1.71	0.985	-2.278	0.223	0.727
t161	-1.382	-2.581	-0.198	-0.75	1.324	1.494	-0.788	-1.684	0.876	0.833	0.984	1.187	1.891	1.223	-0.843	-1.611	0.635	0.097	0.908	-0.989	0.515	0.51	-0.069	1.182	-0.576	-2.637	2.497	-3.053	0.166	0.835
t147	-1.378	-2.727	-0.189	-0.71	1.263	1.491	-0.884	-1.602	0.872	1.34	0.973	1.25	1.882	1.284	-0.702	-1.404	0.615	-0.061	0.854	-0.852	0.45	0.518	-0.089	1.16	-0.498	-3.09	2.384	-3.103	0.109	0.837
t18	0.875	-1.702	1.083	0.162	-0.463	0.893	-2.661	1.436	0.382	-0.841	0.029	2.197	3.571	-1.13	-0.073	-0.885	-2.25	-2.629	1.945	-2.032	0.99	-0.352	1.121	0.639	0.632	-0.186	-0.332	-1.406	0.362	0.618
t189	-1.578	-2.655	-0.314	-0.833	1.468	1.538	-0.628	-1.95	0.913	1.044	1.06	1.104	1.744	1.419	-0.924	-1.672	0.87	0.42	0.812	-0.906	0.481	0.575	-0.17	1.222	-0.678	-2.866	2.728	-3.216	0.141	0.846
t163	2.416	-1.129	1.953	0.788	-1.693	0.481	-3.957	3.577	0.04	-1.913	-0.628	2.888	4.718	-2.712	0.481	-0.344	-4.221	-4.54	2.668	-2.723	1.3	-0.941	1.924	0.261	1.468	1.431	-2.295	-0.312	0.482	0.467
t54	0.654	-2.108	0.97	0.155	-0.404	0.952	-2.672	1.287	0.426	0.4	0.106	2.224	3.382	-0.743	0.16	-0.503	-1.989	-2.754	1.739	-1.624	0.797	-0.241	0.957	0.648	0.677	-1.394	-0.286	-1.69	0.22	0.647
t96	-0.093	-2.376	0.547	-0.152	0.2	1.153	-2.036	0.24	0.592	0.847	0.425	1.877	2.828	0.029	-0.113	-0.778	-1.026	-1.851	1.408	-1.299	0.649	0.046	0.565	0.834	0.264	-2.122	0.673	-2.22	0.167	0.721
t192	1.71	-1.232	1.538	0.457	-1.082	0.662	-3.268	2.526	0.193	-1.889	-0.326	2.51	4.206	-2.065	0.065	-0.812	-3.325	-3.386	2.381	-2.569	1.237	-0.693	1.58	0.448	1.008	1.157	-1.297	-0.76	0.48	0.526
t155	1.396	-1.38	1.361	0.337	-0.839	0.748	-3.021	2.102	0.262	-1.586	-0.192	2.377	3.971	-1.719	-0.013	-0.874	-2.919	-3.06	2.238	-2.397	1.159	-0.569	1.408	0.522	0.852	0.749	-0.921	-1.003	0.444	0.558
t98	0.636	-1.811	0.943	0.068	-0.275	0.957	-2.47	1.108	0.432	-0.659	0.129	2.083	3.396	-0.855	-0.132	-0.94	-1.938	-2.368	1.85	-1.913	0.931	-0.26	0.982	0.695	0.508	-0.451	-0.044	-1.585	0.337	0.641
t122	0.083	-2.07	0.633	-0.144	0.146	1.104	-2.039	0.366	0.553	-0.09	0.361	1.857	2.979	-0.262	-0.28	-1.057	-1.235	-1.75	1.576	-1.613	0.795	-0.045	0.686	0.822	0.235	-1.196	0.618	-2.004	0.272	0.696
