sample-id	species	gutregion
BRA12671H	Gelasimus_vocans	H
BRA12672H	Gelasimus_vocans	H
BRA12673M	Gelasimus_vocans	M
BRA12681H	Scylla_paramamosain	H
BRA12681M	Scylla_paramamosain	M
BRA12691F	Thalamita_crenata	F
BRA12691H	Thalamita_crenata	H
BRA12691M	Thalamita_crenata	M
BRA12791F	Mictyris_brevidactylus	F
BRA12791H	Mictyris_brevidactylus	H
BRA12792H	Mictyris_brevidactylus	H
BRA12792M	Mictyris_brevidactylus	M
BRA12801F	Scopimera_intermedia	F
BRA12801H	Scopimera_intermedia	H
BRA12802H	Scopimera_intermedia	H
BRA12803M	Scopimera_intermedia	M
BRA12811H	Tmethypocoelis_ceratophora	H
BRA12812H	Tmethypocoelis_ceratophora	H
BRA12813F	Tmethypocoelis_ceratophora	F
BRA12813H	Tmethypocoelis_ceratophora	H
BRA12821F	Mictyris_brevidactylus	F
BRA12821H	Mictyris_brevidactylus	H
BRA12821M	Mictyris_brevidactylus	M
BRA12822H	Mictyris_brevidactylus	H
BRA12831H	Gelasimus_borealis	H
BRA12831M	Gelasimus_borealis	M
BRA12832H	Gelasimus_borealis	H
BRA12832M	Gelasimus_borealis	M
BRA12841F	Tubuca_arcuata	F
BRA12841H	Tubuca_arcuata	H
BRA12851F	Paraleptuca_splendida	F
BRA12851H	Paraleptuca_splendida	H
BRA12851M	Paraleptuca_splendida	M
BRA12852F	Paraleptuca_splendida	F
BRA12852H	Paraleptuca_splendida	H
BRA12852M	Paraleptuca_splendida	M
BRA12861H	Metopograpsus_frontalis	H
BRA12862H	Metopograpsus_frontalis	H
BRA12862M	Metopograpsus_frontalis	M
BRA12871H	Metopograpsus_quadridentatus	H
BRA12871M	Metopograpsus_quadridentatus	M
BRA12881F	Parasesarma_bidens	F
BRA12881H	Parasesarma_bidens	H
BRA12882F	Parasesarma_bidens	F
BRA12882H	Parasesarma_bidens	H
BRA12883F	Parasesarma_bidens	F
BRA12883H	Parasesarma_bidens	H
BRA12883M	Parasesarma_bidens	M
BRA12891F	Parasesarma_pictum	F
BRA12891H	Parasesarma_pictum	H
BRA12891M	Parasesarma_pictum	M
BRA12892F	Parasesarma_pictum	F
BRA12892H	Parasesarma_pictum	H
BRA12901H	Macrophthalmus_banzai	H
BRA12911F	Macrophthalmus_convexus	F
BRA12911H	Macrophthalmus_convexus	H
BRA12912M	Macrophthalmus_convexus	M
BRA12913H	Macrophthalmus_convexus	H
BRA12921H	Macrophthalmus_definitus	H
BRA12922M	Macrophthalmus_definitus	M
BRA4611F	Lithoselatium_kusu	F
BRA4611H	Lithoselatium_kusu	H
BRA4611M	Lithoselatium_kusu	M
BRA4612F	Lithoselatium_kusu	F
BRA4612H	Lithoselatium_kusu	H
BRA4612M	Lithoselatium_kusu	M
BRA4613F	Lithoselatium_kusu	F
BRA4613H	Lithoselatium_kusu	H
BRA4614F	Lithoselatium_kusu	F
BRA4614H	Lithoselatium_kusu	H
BRA4631H	Selatium_brockii	H
BRA4631M	Selatium_brockii	M
BRA4632F	Selatium_brockii	F
BRA4632H	Selatium_brockii	H
BRA4632M	Selatium_brockii	M
BRA4635F	Selatium_brockii	F
BRA4635H	Selatium_brockii	H
BRA4636H	Selatium_brockii	H
BRA4751H	Neosarmatium_indicum	H
BRA4752H	Neosarmatium_indicum	H
BRA4752M	Neosarmatium_indicum	M
BRA4771M	Sarmatium_germaini	M
BRA4782H	Orisarma_dehaani	H
BRA4952H	Parasesarma_pictum	H
BRA5171F	Orisarma_dehaani	F
BRA5182H	Parasesarma_bidens	H
BRA5182M	Parasesarma_bidens	M
BRA5211H	Sarmatium_germaini	H
BRA5212H	Sarmatium_germaini	H
BRA5221H	Chasmagnathus_convexus	H
BRA5221M	Chasmagnathus_convexus	M
BRA5222H	Chasmagnathus_convexus	H
BRA5222M	Chasmagnathus_convexus	M
BRA5223H	Chasmagnathus_convexus	H
BRA5224H	Chasmagnathus_convexus	H
BRA5231M	Parasesarma_pictum	M
BRA5232H	Parasesarma_pictum	H
BRA5233F	Parasesarma_pictum	F
BRA5233H	Parasesarma_pictum	H
BRA5421F	Metopograpsus_frontalis	F
BRA5421H	Metopograpsus_frontalis	H
BRA5422F	Metopograpsus_frontalis	F
BRA5422H	Metopograpsus_frontalis	H
BRA5431H	Metopograpsus_frontalis	H
BRA5433H	Metopograpsus_frontalis	H
BRA5441H	Metaplax_longipes	H
BRA5442H	Metaplax_longipes	H
BRA5451H	Orisarma_patshuni	H
BRA5452H	Orisarma_patshuni	H
BRA5601H	Neosarmatium_indicum	H
BRA5601M	Neosarmatium_indicum	M
BRA5621H	Parasesarma_ungulatum	H
BRA5623H	Parasesarma_ungulatum	H
BRA5624M	Parasesarma_ungulatum	M
BRA5671M	Episesarma_versicolor	M
BRA5672H	Episesarma_versicolor	H
BRA5672M	Episesarma_versicolor	M
BRA5673H	Episesarma_versicolor	H
BRA8221H	Orisarma_dehaani	H
BRA8221M	Orisarma_dehaani	M
BRA8251H	Metaplax_longipes	H
BRA8252H	Metaplax_longipes	H
BRA8253H	Metaplax_longipes	H
BRA8271M	Orisarma_sinense	M
BRA8272H	Orisarma_sinense	H
BRA8272M	Orisarma_sinense	M
BRA8273H	Orisarma_sinense	H
BRA9742F	Episesarma_versicolor	F
BRA9742H	Episesarma_versicolor	H
BRA9742M	Episesarma_versicolor	M
BRA9743F	Episesarma_versicolor	F
BRA9743H	Episesarma_versicolor	H
