#OTU ID	BRA10151M	BRA10522M	BRA10523M	BRA10972M	BRA11062M	BRA11071M	BRA11072M	BRA11081M	BRA11082M	BRA11481M	BRA11623M	BRA11625M	BRA11631M	BRA11673M	BRA11674M	BRA11681M	BRA11682M	BRA11711M	BRA11712M	BRA11713M	BRA11721M	BRA11723M	BRA11731M	BRA11741M	BRA11742M	BRA11743M	BRA11751M	BRA11752M	BRA11821M	BRA11823M	BRA11841M	BRA11851M	BRA11852M	BRA11854M	BRA11861M	BRA11862M	BRA11863M	BRA11872M	BRA11881M	BRA11883M	BRA11972M	BRA11981M	BRA12001M	BRA12002M	BRA12011M	BRA12012M	BRA12013M	BRA12021M	BRA12022M	BRA12023M	BRA12032M	BRA12042M	BRA12043M	BRA12051M	BRA12052M	BRA12062M	BRA12111M	BRA12331M	BRA12332M	BRA12351M	BRA12352M	BRA12353M	BRA12541M	BRA12542M	BRA12551M	BRA12552M	BRA12553M	BRA12562M	BRA12563M	BRA12572M	BRA12573M	BRA12582M	BRA12591M	BRA12601M	BRA12602M	BRA12632M	BRA12641M	BRA12651M	BRA12661M	BRA12662M	BRA12673M	BRA12681M	BRA12691M	BRA12792M	BRA12803M	BRA12821M	BRA12831M	BRA12832M	BRA12851M	BRA12852M	BRA12862M	BRA12871M	BRA12883M	BRA12891M	BRA12912M	BRA12922M	BRA4611M	BRA4612M	BRA4631M	BRA4632M	BRA4752M	BRA4771M	BRA5182M	BRA5221M	BRA5222M	BRA5231M	BRA5601M	BRA5624M	BRA5671M	BRA5672M	BRA8221M	BRA8271M	BRA8272M	BRA9742M	BRA9743M	BRA9744M	BRA9751M	BRA9761M	BRA9762M	BRA9771M	BRA9772M	BRA9773M	BRA9783M	BRA9791M	BRA9792M	BRA9793M	BRA9811M	BRA9812M	BRA9813M	BRA9841M	BRA9852M	BRA9872M	BRA9873M
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Bacteroidetes vadinHA17	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	11	0	8	0	0	5	0	0	0	0	0	0	0	0	0	56	0	0	37	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Gammaproteobacteria;D_3__Thiotrichales;D_4__Thiotrichaceae	6	3	1	0	28	0	53	306	12	17	34	110	20	2	2	10	0	23	10	10	53	1	0	0	6	0	0	0	0	409	14	7	0	6	5	0	19	2	4	0	62	7	84	0	82	6	0	124	43	70	0	0	0	6	0	0	41	0	0	0	19	1	57	31	13	2	29	8	3	253	43	9	8	25	3	6	2	6	0	1	9	110	27	31	165	69	18	3	59	16	49	294	343	27	52	44	0	0	3	13	31	0	24	3	1	0	13	3	24	25	0	0	1	3	85	28	12	23	5	4	20	2	0	1	19	55	9	10	0	19	15	4	7
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__Rhodospirillales;D_4__Rhodopirillaceae	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	5	0	0	0	0	4	0	0	0	0	0	0	14	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	21	9	0	0	0	0	0	0	0	0	18	0	0	1	9	0	0	0	0
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Rikenellaceae	16	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	8	2	7	163	8	0	0	0	0	4	0	0	483	10	0	19	4	15	74	0	38	0	1	47	0	3	12	1693	38	30	6	66	0	0	242	298	5	70	0	2	0	0	0	5	1	9	4	5	189	19	25	407	89	30	425	95	382	468	82	252	160	478	10	18	3	3	0	0	14	0	0	0	4	0	0	0	0	56	1	0	5	0	0	37	5	3	2	4	2	9	0	2	3	0	1	0	2	3	1	10	0	0	0	0	0	0	0	1	6	2	2	4	0	0	0	0
D_0__Bacteria;D_1__Proteobacteria;D_2__Alphaproteobacteria;D_3__uncultured;D_4__uncultured proteobacterium	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
D_0__Bacteria;D_1__Firmicutes;D_2__Clostridia;D_3__Clostridiales;D_4__Lachnospiraceae	89	307	654	65	76	4945	17959	5692	2868	724	3396	3339	505	228	303	3160	7	1303	16365	4129	2959	1516	909	134	140	93	167	45	77	404	132	121	384	205	3181	1779	27	139	13	149	181	99	1049	419	3364	1443	452	664	121	76	7	303	3366	487	4008	296	148	4201	1109	27247	1003	9288	139	308	124	396	190	441	1841	1009	351	3051	664	1980	2068	700	1925	1325	3158	1309	6724	119	129	126	383	1033	4174	2359	57	50	56	130	235	275	547	20	40	15	120	74	110	195	123	242	207	83	298	67	164	91	114	937	883	37	756	334	325	38	60	71	125	467	292	698	516	593	468	1824	985	173	170	1303	1382
D_0__Bacteria;D_1__Bacteroidetes;D_2__Bacteroidia;D_3__Bacteroidales;D_4__Prolixibacteraceae	0	41	102	0	0	1	0	33	2	200	35	84	6	2	0	16	0	30	20	12	0	0	1	37	35	30	73	42	12	8	8	4	7	0	0	1	0	5	0	6	26	1	54	74	4	16	0	85	2	16	0	0	6	8	154	0	0	2	2	0	5	14	115	30	14206	20	161	106	0	0	0	0	10	0	0	185	1	171	0	2	0	0	0	0	0	0	0	0	0	3	0	0	0	1	0	0	34	0	4	9	12	7	6	22	74	21	45	14	7	32	1	148	0	0	51	25	56	4	14	2	48	5	25	16	111	114	49	31	2	44	33	16	10
D_0__Bacteria;D_1__Patescibacteria;D_2__Saccharimonadia;D_3__Saccharimonadales;D_4__Saccharimonadaceae	0	2	0	0	13	0	13	9	6	0	7	0	2	0	2	0	0	26	36	2497	0	0	7	1	0	0	5	0	0	0	0	8	14	3	5	0	2	13	0	0	2	0	0	0	0	11	0	4	3	0	0	12	0	0	0	0	14	1	0	0	0	0	0	0	0	22	0	13	0	0	0	0	0	0	0	0	0	0	0	3	41	17	1	1	8	8	82	0	8	11	3	1	0	0	0	0	8	0	0	20	0	0	0	68	0	4	0	4	0	0	0	0	1	0	0	0	0	0	3	0	1	2	0	0	0	7	0	0	0	3	0	0	1
D_0__Bacteria;D_1__Proteobacteria;D_2__Deltaproteobacteria;D_3__Bdellovibrionales;D_4__Bacteriovoracaceae	0	0	0	0	0	0	0	10	3	0	3	7	4	0	0	1	0	2	0	0	0	0	2	0	0	0	2	0	0	8	0	3	4	0	8	0	0	0	0	2	4	26	4	0	2	3	0	0	0	0	0	0	0	0	0	3	83	0	3	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	0	5	0	0	3	0	0	37	1	0	0	2	12	10	0	0	0	0	1	0	0	18	58	105	0	0	0	0	0	0	0	0	24	7	1	30	7	0	0	0	0
D_0__Bacteria;D_1__Chloroflexi;D_2__Anaerolineae;D_3__SBR1031;D_4__A4b	0	0	1	0	0	0	0	0	0	0	3	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
