Actinobacteria_Actinomycetales	Bacteroidetes_Bacteroidales	Firmicutes_Bacillales	Firmicutes_Clostridiales	Firmicutes_Erysipelotrichales	Firmicutes_Lactobacillales	Fusobacteria_Fusobacteriales	Proteobacteria_Burkholderiales	Proteobacteria_Campylobacterales	Proteobacteria_Enterobacteriales	Proteobacteria_Legionellales	Proteobacteria_Pseudomonadales	Proteobacteria_Rhizobiales	Tenericutes_Mycoplasmatales
Lamprotornis_chalybaeus	0.014	0.002	0.014	0.007	0	0.021	0.001	0.009	0	0.023	0.001	0.121	0.009	0.776
Aplonis_panayensis	0.005	0	0.003	0.046	0	0.256	0	0.002	0	0.526	0	0.003	0.007	0.153
Sheppardia_sharpei	0.15	0.001	0.037	0.049	0.005	0.336	0.001	0.06	0.001	0.181	0.016	0.129	0.033	0.001
Cercomela_familiaris	0.107	0.002	0.033	0.127	0	0.187	0.003	0.139	0	0.145	0.08	0.151	0.024	0.001
Oenanthe_oenanthe	0.027	0	0.001	0.317	0.018	0.005	0	0	0	0.293	0.328	0.01	0.001	0
Myrmecocichla_formicivora	0.097	0.005	0.01	0.041	0	0.386	0.001	0.007	0.002	0.36	0.001	0.005	0.063	0.022
Eumyias_panayensis	0	0	0.333	0	0	0.005	0	0	0	0.346	0	0.316	0	0
Copsychus_mindanensis	0.01	0.013	0.084	0.317	0	0.311	0	0.001	0	0.064	0.001	0.029	0.003	0.167
Muscicapa_adusta	0.201	0.002	0.082	0.07	0	0.091	0.005	0.038	0	0.205	0	0.134	0.162	0.011
Muscicapa_striata	0.069	0.004	0.152	0.004	0.001	0.045	0	0.035	0	0.15	0	0.431	0.109	0
Muscicapa_caerulescens	0.124	0.001	0.062	0.112	0.001	0.106	0.001	0.176	0	0.013	0	0.16	0.111	0.132
Catharus_ustulatus	0.026	0.002	0.022	0.008	0.001	0.319	0.001	0.011	0.104	0.23	0.001	0.031	0.023	0.221
Turdus_olivater	0.003	0	0.008	0.005	0	0.655	0	0	0.027	0.293	0	0.001	0.008	0
Turdus_flavipes	0.002	0	0.002	0	0.001	0.24	0	0.003	0.002	0.739	0	0.007	0.004	0
Turdus_obscurus	0.063	0.05	0.043	0.104	0.003	0.121	0	0.088	0.001	0.087	0.152	0.155	0.087	0.045
Zoothera_gurneyi	0.043	0.002	0.018	0.014	0	0.013	0.001	0.039	0	0.345	0	0.326	0.199	0
Cinclus_mexicanus	0.096	0.211	0.022	0.185	0.223	0.054	0.001	0.01	0.027	0.108	0.007	0.009	0.046	0.001
Henicorhina_leucosticta	0.029	0	0.014	0.055	0	0.605	0	0.002	0	0.282	0.002	0.001	0.008	0.002
Thryothorus_ludovicianus	0	0	0	0.453	0	0.046	0	0.001	0	0.004	0	0	0	0.495
Cistothorus_palustris	0.03	0.006	0.02	0.271	0.006	0.081	0	0.019	0.003	0.301	0.201	0.042	0.008	0.012
Troglodytes_aedon	0.01	0.082	0.001	0.019	0.002	0.528	0.001	0	0.001	0.291	0	0.026	0.039	0
Troglodytes_pacificus	0.04	0.061	0.025	0.175	0.002	0.111	0.02	0.004	0.112	0.082	0.255	0.043	0.006	0.063
Certhia_americana	0.027	0	0.107	0.004	0	0.465	0	0.007	0	0.111	0.135	0.029	0.02	0.095
Sitta_canadensis	0.029	0.031	0.028	0.02	0.001	0.609	0.072	0.003	0.001	0.022	0.073	0.077	0.032	0.002
Sitta_frontalis	0.033	0.003	0.095	0.005	0	0.006	0	0.049	0	0.337	0	0.362	0.11	0
Bombycilla_garrulus	0.003	0	0.001	0.013	0	0.04	0	0.006	0.842	0.005	0	0.003	0.01	0.078
