feature_1	feature_2	feature_3	feature_4	feature_5	feature_6	feature_7	feature_8	feature_9	feature_10	feature_11	feature_12	feature_13	feature_14	feature_15	feature_16	feature_17	feature_18	feature_19	feature_20	feature_21	feature_22	feature_23	feature_24	feature_25	feature_26	feature_27	feature_28	feature_29	feature_30
t189	0.557	-0.425	0.742	-0.582	0.108	-1.063	1.791	0.165	-0.392	-1.409	-0.475	-0.397	-0.337	1.008	0.91	1.292	1.352	0.09	0.57	-0.401	-0.069	0.002	0.485	-0.189	1.033	-1.808	-0.444	-1	-1.368	0.251
t165	0.16	-0.729	0.83	-0.506	0.384	-2.34	1.16	1.014	-0.169	-1.766	0.35	-0.714	0.137	0.965	1.346	1.128	0.733	1.308	0.309	0.416	-0.528	0.028	0.505	-0.321	0.827	-1.262	-0.877	-1.129	-1.587	0.325
t127	0.363	-0.31	0.748	-0.556	0.049	-1.861	1.274	0.229	-0.322	-1.364	0.41	-0.739	-0.401	1.261	0.898	1.269	0.817	0.641	0.488	-0.01	-0.144	-0.03	0.484	-0.269	0.939	-1.451	-0.306	-1.059	-1.488	0.433
t98	0.179	-0.418	0.698	-0.548	0.258	-1.619	1.472	0.612	-0.242	-1.668	0.4	-0.716	-0.157	0.978	1.28	0.903	1.096	0.727	0.448	0	-0.436	-0.011	0.478	-0.294	0.898	-1.559	-0.719	-1.084	-1.405	0.442
t58	0.387	-0.334	0.535	-0.517	0.331	-1.675	1.42	0.43	-0.302	-1.35	0.456	-0.678	-0.313	1.12	1.135	0.949	0.743	0.657	0.606	-0.117	-0.607	-0.038	0.489	-0.203	0.836	-1.424	-0.63	-1.141	-1.347	0.574
t73	0.788	-0.287	0.611	-0.563	0.023	-0.664	1.758	0.127	-0.465	-1.192	-0.963	-0.439	-0.431	1.197	0.781	1.354	1.154	-0.058	0.62	-0.538	0.012	0.014	0.5	-0.048	0.947	-1.693	-0.442	-1.051	-1.333	0.273
t158	0.802	-0.006	0.846	-0.641	-0.267	-0.99	1.878	-0.996	-0.716	-0.844	-0.551	-0.304	-0.844	1.773	0.003	2.213	1.229	-0.601	0.758	-0.86	0.662	-0.09	0.454	-0.159	1.304	-2.045	0.451	-0.861	-1.514	-0.094
t71	0.31	-0.71	0.789	-0.452	0.343	-1.669	1.309	0.988	-0.17	-1.715	-0.337	-0.526	-0.005	0.88	1.403	0.85	0.924	1.082	0.294	0.237	-0.479	0.068	0.525	-0.237	0.86	-1.381	-0.965	-1.131	-1.377	0.289
t186	0.542	-0.336	0.813	-0.518	0.12	-1.391	1.44	0.169	-0.393	-1.249	-0.626	-0.432	-0.274	1.288	0.793	1.219	0.798	0.506	0.47	-0.135	-0.122	-0.015	0.499	-0.1	0.959	-1.499	-0.431	-1.066	-1.364	0.332
t99	0.28	-0.535	0.681	-0.507	0.417	-1.59	1.473	0.558	-0.277	-1.532	-0.082	-0.417	-0.065	0.941	1.255	0.859	0.922	0.847	0.467	-0.01	-0.556	-0.012	0.494	-0.194	0.908	-1.511	-0.797	-1.148	-1.269	0.393
t72	0.418	-0.689	0.578	-0.483	0.385	-1.505	1.454	0.964	-0.147	-1.557	-0.041	-0.72	-0.14	0.781	1.423	0.835	0.837	0.793	0.564	0.007	-0.662	0.039	0.519	-0.178	0.772	-1.273	-1.014	-1.178	-1.371	0.586
t42	0.525	-1.007	0.551	-0.36	0.758	-1.057	1.486	1.397	-0.075	-1.62	-1.456	-0.143	0.272	0.44	1.788	0.23	0.749	1.221	0.4	0.137	-1.098	0.111	0.57	0.023	0.696	-1.194	-1.583	-1.347	-0.994	0.569
t45	0.602	-0.398	0.721	-0.483	0.215	-1.226	1.481	0.45	-0.318	-1.245	-0.573	-0.462	-0.333	1.106	0.996	0.915	0.834	0.473	0.507	-0.158	-0.382	0.021	0.516	-0.099	0.862	-1.431	-0.658	-1.092	-1.288	0.442
t33	-0.061	-0.64	0.747	-0.518	0.526	-2.062	1.288	0.958	-0.136	-1.753	0.289	-0.659	0.217	0.876	1.485	0.856	0.804	1.298	0.383	0.287	-0.762	-0.007	0.488	-0.305	0.843	-1.248	-1.019	-1.232	-1.393	0.446
t35	0.157	-0.782	0.655	-0.493	0.612	-1.516	1.712	0.904	-0.198	-1.766	-0.353	-0.407	0.226	0.694	1.423	0.877	1.079	0.899	0.528	-0.052	-0.76	0.01	0.503	-0.205	0.941	-1.472	-1.142	-1.238	-1.223	0.381
t163	0.696	0.01	0.815	-0.615	-0.204	-1.013	1.674	-0.514	-0.575	-1.01	-0.42	-0.448	-0.715	1.594	0.385	1.691	1.205	-0.273	0.6	-0.599	0.377	-0.048	0.465	-0.172	1.109	-1.885	0.145	-0.902	-1.49	0.11
t131	0.379	-0.711	0.493	-0.524	0.521	-1.457	1.771	0.933	-0.214	-1.62	0.057	-0.694	-0.003	0.694	1.358	0.99	1.022	0.573	0.725	-0.22	-0.795	0.006	0.504	-0.187	0.834	-1.39	-1.074	-1.218	-1.332	0.579
t5	0.376	-0.602	0.636	-0.468	0.39	-1.637	1.153	1.009	-0.207	-1.568	-0.276	-0.642	0.033	0.983	1.461	0.731	0.597	1.21	0.319	0.279	-0.65	0.041	0.522	-0.127	0.703	-1.206	-1.007	-1.205	-1.351	0.497
