V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t40	-3.704	-0.287	-1.922	1.026	0.337	-0.866	2.233	1.027	-1.089	1.447	3.434	0.527	1.404	0.347	0.75	1.029	-1.8	0.343	-4.093	0.162	1.6	-2.337	2.38	-0.263	0.027	-2.801	1.738	-0.486	1.537	-1.717
t49	-3.615	-0.356	-1.439	1.214	0.66	-1.035	2.904	1.043	-1.3	1.762	3.401	0.334	1.858	-0.102	0.713	0.691	-1.611	-0.02	-3.727	0.841	1.308	-2.646	1.765	-0.571	0.033	-2.624	1.765	-0.931	1.553	-1.883
t7	-3.68	-0.037	-2.357	0.748	-0.261	-0.539	1.38	1.118	0.589	1.097	2.553	0.147	0.492	0.633	1.052	1.017	-1.922	0.878	-4.696	-0.575	0.566	-1.24	2.949	0.217	0.059	-2.227	1.492	-0.136	1.58	-0.912
t37	-3.935	-0.169	-2.552	0.853	-0.229	-0.474	1.425	1.127	0.743	1.029	2.788	0.362	0.364	0.502	1.182	1.106	-1.911	1.037	-5.07	-0.637	0.389	-1.218	3.257	0.317	-0.035	-2.238	1.438	-0.338	1.841	-0.974
t44	-2.086	1.125	-1.175	0.072	-0.919	-0.765	0.356	1.546	-0.396	1.128	1.108	-1.119	0.759	1.93	0.284	0.713	-2.209	-0.27	-2.097	-1.051	0.097	-0.305	1.328	-0.086	0.765	-1.966	1.715	1.491	0.001	0.02
t20	-2.378	0.867	-1.711	0.113	-0.891	-0.655	0.212	1.398	-0.461	0.944	1.775	-0.571	0.561	1.875	0.388	1.052	-2.274	0.113	-2.784	-1.334	0.662	-0.418	2.015	0.068	0.593	-2.261	1.69	1.399	0.281	-0.272
t11	-2.7	0.754	-2.332	-0.055	-1.194	-0.348	-0.056	1.371	1.002	0.661	1.551	-0.474	-0.239	1.849	0.82	1.16	-2.289	0.811	-3.89	-1.735	-0.093	-0.087	2.916	0.55	0.438	-1.895	1.453	1.162	0.816	0.065
t10	-2.45	0.937	-2.336	-0.248	-1.372	-0.329	-0.462	1.401	0.958	0.556	1.418	-0.613	-0.345	2.111	0.7	1.222	-2.399	0.803	-3.681	-2.037	0.058	0.281	2.886	0.55	0.524	-1.894	1.46	1.532	0.538	0.226
t46	-2.275	1.349	-1.571	0.632	-1.524	-0.412	-0.718	1.933	-0.094	0.57	1.389	-0.627	-0.011	2.101	0.554	1.063	-2.438	-0.232	-2.332	-2.223	-2.03	1.23	1.838	0.348	0.74	-1.418	1.527	1.796	0.241	0.588
t47	-3.722	0.106	-2.184	1.237	-0.335	-0.598	1.068	1.266	-0.558	1.059	2.85	0.441	0.773	0.892	0.857	1.208	-2.028	0.422	-4.021	-0.843	0.453	-1.082	2.601	0.111	0.163	-2.462	1.662	0.313	1.307	-0.968
t45	-3.643	0.119	-2.214	1.041	-0.329	-0.607	1.034	1.244	-0.559	1.05	2.821	0.392	0.763	0.987	0.811	1.235	-2.05	0.45	-4.004	-0.876	0.74	-1.164	2.681	0.14	0.179	-2.582	1.667	0.398	1.244	-0.983
t29	-4.453	-0.594	-2.661	1.57	0.284	-0.699	1.795	0.907	-0.925	1.17	3.848	1.157	1.066	0.309	0.982	1.425	-1.901	0.869	-5.025	-0.354	2.047	-2.103	3.234	0.064	-0.184	-3.137	1.705	-0.414	1.888	-1.911
t36	-3.013	0.444	-1.679	0.799	-0.449	-0.701	1.005	1.349	-0.122	1.174	2.052	-0.354	0.791	1.042	0.699	0.828	-2.014	0.19	-3.344	-0.662	0.087	-0.783	1.972	-0.032	0.363	-2.033	1.629	0.486	0.877	-0.606
t34	-3.041	0.413	-1.664	0.843	-0.41	-0.731	1.086	1.314	-0.287	1.217	2.074	-0.311	0.879	1.083	0.675	0.839	-2.002	0.156	-3.287	-0.586	0.277	-1.021	1.932	-0.044	0.367	-2.137	1.675	0.504	0.871	-0.687
t18	-2.364	1.246	-1.681	0.59	-1.481	-0.393	-0.582	1.857	0.122	0.587	1.406	-0.59	-0.065	2.03	0.631	1.06	-2.401	-0.073	-2.594	-2.126	-1.902	1.017	1.995	0.392	0.685	-1.429	1.507	1.641	0.385	0.521
t39	-2.598	1.166	-1.886	0.745	-1.495	-0.346	-0.708	1.846	0.002	0.504	1.615	-0.344	-0.126	2.079	0.674	1.221	-2.441	0.025	-2.793	-2.302	-1.768	0.997	2.246	0.491	0.635	-1.599	1.523	1.704	0.482	0.443
t33	-4.305	-0.537	-2.434	1.51	0.333	-0.757	1.979	0.941	-0.935	1.279	3.671	0.969	1.191	0.272	0.943	1.279	-1.848	0.707	-4.768	-0.143	1.874	-2.221	2.965	-0.017	-0.133	-3.038	1.718	-0.476	1.822	-1.871
t50	-4.329	-0.561	-2.488	1.527	0.326	-0.74	1.966	0.924	-0.904	1.259	3.735	1.02	1.158	0.247	0.965	1.303	-1.85	0.758	-4.855	-0.166	1.873	-2.21	3.021	-0.011	-0.154	-3.02	1.71	-0.507	1.86	-1.889
