V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25	V26	V27	V28	V29	V30
t37	0	0.009	0.001	0.026	0.009	0.007	0.047	0.035	0.024	0.031	0.182	0.016	0.016	0.019	0.037	0.034	0.002	0.032	0	0.006	0.017	0.003	0.291	0.015	0.011	0.001	0.047	0.008	0.071	0.004
t44	0.002	0.058	0.006	0.02	0.007	0.009	0.027	0.088	0.013	0.058	0.057	0.006	0.04	0.129	0.025	0.038	0.002	0.014	0.002	0.007	0.021	0.014	0.071	0.017	0.04	0.003	0.104	0.083	0.019	0.019
t20	0.002	0.041	0.003	0.019	0.007	0.009	0.021	0.069	0.011	0.044	0.101	0.01	0.03	0.112	0.025	0.049	0.002	0.019	0.001	0.005	0.033	0.011	0.128	0.018	0.031	0.002	0.093	0.069	0.023	0.013
t11	0.001	0.031	0.001	0.014	0.004	0.01	0.014	0.057	0.04	0.028	0.069	0.009	0.011	0.092	0.033	0.046	0.001	0.033	0	0.003	0.013	0.013	0.268	0.025	0.023	0.002	0.062	0.046	0.033	0.016
t10	0.001	0.036	0.001	0.011	0.004	0.01	0.009	0.057	0.037	0.025	0.058	0.008	0.01	0.117	0.028	0.048	0.001	0.032	0	0.002	0.015	0.019	0.253	0.024	0.024	0.002	0.061	0.065	0.024	0.018
t46	0.002	0.06	0.003	0.03	0.003	0.01	0.008	0.108	0.014	0.028	0.063	0.008	0.016	0.128	0.027	0.045	0.001	0.012	0.002	0.002	0.002	0.054	0.099	0.022	0.033	0.004	0.072	0.095	0.02	0.028
t47	0	0.015	0.001	0.046	0.009	0.007	0.038	0.047	0.008	0.038	0.229	0.021	0.029	0.032	0.031	0.044	0.002	0.02	0	0.006	0.021	0.004	0.178	0.015	0.016	0.001	0.07	0.018	0.049	0.005
t45	0	0.015	0.001	0.037	0.009	0.007	0.037	0.046	0.008	0.038	0.221	0.019	0.028	0.035	0.03	0.045	0.002	0.021	0	0.005	0.028	0.004	0.192	0.015	0.016	0.001	0.07	0.02	0.046	0.005
t29	0	0.004	0.001	0.036	0.01	0.004	0.046	0.019	0.003	0.024	0.356	0.024	0.022	0.01	0.02	0.032	0.001	0.018	0	0.005	0.059	0.001	0.192	0.008	0.006	0	0.042	0.005	0.05	0.001
t36	0.001	0.028	0.003	0.039	0.011	0.009	0.048	0.068	0.016	0.057	0.138	0.012	0.039	0.05	0.036	0.04	0.002	0.021	0.001	0.009	0.019	0.008	0.127	0.017	0.025	0.002	0.09	0.029	0.043	0.01
t34	0.001	0.026	0.003	0.041	0.012	0.008	0.052	0.065	0.013	0.059	0.139	0.013	0.042	0.052	0.034	0.04	0.002	0.02	0.001	0.01	0.023	0.006	0.121	0.017	0.025	0.002	0.093	0.029	0.042	0.009
t18	0.002	0.056	0.003	0.029	0.004	0.011	0.009	0.103	0.018	0.029	0.065	0.009	0.015	0.122	0.03	0.046	0.001	0.015	0.001	0.002	0.002	0.044	0.118	0.024	0.032	0.004	0.072	0.083	0.024	0.027
t39	0.001	0.048	0.002	0.032	0.003	0.011	0.007	0.095	0.015	0.025	0.076	0.011	0.013	0.12	0.029	0.051	0.001	0.015	0.001	0.002	0.003	0.041	0.142	0.025	0.028	0.003	0.069	0.083	0.024	0.023
t33	0	0.005	0.001	0.039	0.012	0.004	0.062	0.022	0.003	0.031	0.336	0.023	0.028	0.011	0.022	0.031	0.001	0.017	0	0.007	0.056	0.001	0.166	0.008	0.007	0	0.048	0.005	0.053	0.001
t50	0	0.005	0.001	0.038	0.011	0.004	0.059	0.021	0.003	0.029	0.346	0.023	0.026	0.011	0.022	0.03	0.001	0.018	0	0.007	0.054	0.001	0.169	0.008	0.007	0	0.046	0.005	0.053	0.001
