captive	diet	realm	flight
Gazella_spekei	captive	Plants	Nearctic	flightless
Pongo_abelii	captive	Fruits	Palearctic	flightless
Phoenicopterus_ruber	captive_wild	Invertebrates	Oriental	flighted
Tremarctos_ornatus	captive	Fruits	Nearctic	flightless
Mungos_mungo	captive	Invertebrates	Nearctic	flightless
Strix_varia	captive	Meat	Nearctic	flighted
Mustela_nigripes	captive	Meat	Nearctic	flightless
Bettongia_penicillata	captive	Plants	Nearctic	flightless
Athene_cunicularia	captive	Meat	Nearctic	flighted
Tragulus_napu	captive	Plants	Nearctic	flightless
Corvus_corax	captive_wild	Meat	Nearctic	flighted
Psarocolius_decumanus	captive	Fruits	Nearctic	flighted
Crax_alberti	captive	Fruits	Nearctic	flighted
Fukomys_damarensis	captive	Plants	Nearctic	flightless
Octodon_degus	captive	Plants	Nearctic	flightless
Helogale_parvula	captive	Invertebrates	Nearctic	flightless
Bubulcus_ibis	captive_wild	Invertebrates	Afrotropical	flighted
Vulpes_zerda	captive	Meat	Nearctic	flightless
Hypogeomys_antimena	captive	Fruits	Nearctic	flightless
Pheucticus_chrysogaster	captive	Invertebrates	Nearctic	flighted
Ara_chloropterus	captive	Plants	Nearctic	flighted
Guira_guira	captive	Meat	Nearctic	flighted
Todiramphus_cinnamominus	captive	Invertebrates	Nearctic	flighted
Tupaia_belangeri	captive	Invertebrates	Nearctic	flightless
Pavo_cristatus	captive	Plants	Nearctic	flighted
Dryocopus_pileatus	captive_wild	Invertebrates	Nearctic	flighted
Equus_przewalskii	captive_wild	Plants	Palearctic	flightless
Platalea_ajaja	captive	Meat	Nearctic	flighted
Felis_margarita	captive	Meat	Nearctic	flightless
Macroscelides_proboscideus	captive	Invertebrates	Nearctic	flightless
Mergellus_albellus	captive	Invertebrates	Nearctic	flighted
Zenaida_graysoni	captive	Fruits	Nearctic	flighted
Mephitis_mephitis	captive	Plants	Nearctic	flightless
Plecturocebus_moloch	captive	Fruits	Nearctic	flightless
Tockus_deckeni	captive	Invertebrates	Nearctic	flighted
Plegadis_chihi	captive	Invertebrates	Nearctic	flighted
Grus_americana	captive	Meat	Nearctic	flighted
Aceros_corrugatus	captive	Fruits	Nearctic	flighted
Equus_caballus	captive	Plants	Palearctic	flightless
Pteromys_volans	wild	Plants	Palearctic	flightless
Ammodramus_bairdii	wild	Plants	Nearctic	flighted
Pheucticus_melanocephalus	wild	Invertebrates	Nearctic	flighted
Euphagus_cyanocephalus	wild	Invertebrates	Nearctic	flighted
Molothrus_ater	wild	Plants	Nearctic	flighted
Thryothorus_ludovicianus	wild	Invertebrates	Nearctic	flighted
Calcarius_ornatus	wild	Plants	Nearctic	flighted
Chordeiles_minor	wild	Invertebrates	Nearctic	flighted
Picoides_pubescens	wild	Invertebrates	Nearctic	flighted
Myiarchus_crinitus	wild	Invertebrates	Nearctic	flighted
Eremophila_alpestris	wild	Plants	Nearctic	flighted
Troglodytes_aedon	wild	Invertebrates	Nearctic	flighted
Charadrius_vociferus	wild	Invertebrates	Nearctic	flighted
Chondestes_grammacus	wild	Plants	Nearctic	flighted
Cistothorus_palustris	wild	Invertebrates	Nearctic	flighted
Cardinalis_cardinalis	wild	Plants	Nearctic	flighted
Icterus_spurius	wild	Fruits	Nearctic	flighted
Seiurus_aurocapilla	wild	Invertebrates	Nearctic	flighted
Agelaius_phoeniceus	wild	Plants	Nearctic	flighted
Tachycineta_bicolor	wild	Invertebrates	Nearctic	flighted
Rallus_limicola	wild	Plants	Nearctic	flighted
Sturnella_neglecta	wild	Plants	Nearctic	flighted
Icteria_virens	wild	Invertebrates	Nearctic	flighted
Xanthocephalus_xanthocephalus	wild	Invertebrates	Nearctic	flighted
Manis_temminckii	wild	Invertebrates	Afrotropical	flightless
Rhabdomys_pumilio	wild	Plants	Afrotropical	flightless
Hystrix_africaeaustralis	wild	Plants	Afrotropical	flightless
Alcelaphus_buselaphus	wild	Plants	Afrotropical	flightless
Pronolagus_rupestris	wild	Plants	Afrotropical	flightless
Myrmecocichla_formicivora	wild	Invertebrates	Afrotropical	flighted
Plocepasser_mahali	wild	Plants	Afrotropical	flighted
Cynictis_penicillata	wild	Invertebrates	Afrotropical	flightless
Trichechus_manatus	captive	Plants	Nearctic	flightless
Neophoca_cinerea	captive	Meat	Australasian	flightless
Macrotis_lagotis	captive	Invertebrates	Australasian	flightless
Zalophus_californianus	captive	Meat	Australasian	flightless
Pteropus_poliocephalus	captive	Fruits	Australasian	flighted
Arctocephalus_forsteri	captive	Invertebrates	Australasian	flightless
Pseudocheirus_peregrinus	captive	Plants	Australasian	flightless
Lasiorhinus_latifrons	captive	Plants	Australasian	flightless
Arctocephalus_tropicalis	captive	Invertebrates	Australasian	flightless
Sarcophilus_harrisii	captive	Meat	Australasian	flightless
Pygoscelis_adeliae	wild	Invertebrates	Antarctic	flightless
Empidonax_alnorum	wild	Invertebrates	Nearctic	flighted
Onychoprion_aleuticus	wild	Meat	Nearctic	flighted
Cinclus_mexicanus	wild	Invertebrates	Nearctic	flighted
